Proj_num,Name_CN,Name_EN,CategoryCN,CategoryEN,Time,Type_CN,Type_EN,Place_CN,Place_EN,Unit_CN,Unit_EN,X,Y,ProvinceCN,ProvinceEN,Region4CN,Region4EN,Region7CN,Region7EN,center
Ⅰ-8,孟姜女传说,The Legend of Meng Jiangnu,民间文学,Folk Literature,2006,新增项目,New project,山东省淄博市,"Zibo City, Shandong Province",淄博市淄川区文化馆,Zichuan District Cultural Center of Zibo City,118.041583,36.814428,山东,Shandong,东部,Eastern China,华东,East China,"118.041583,36.814428"
Ⅰ-8,孟姜女传说,The Legend of Meng Jiangnu,民间文学,Folk Literature,2008,扩展项目,Extension project,河北省秦皇岛市,"Qinhuangdao City, Hebei Province",秦皇岛市山海关区文化馆,Qinhuangdao Shanhaiguan District Cultural Center,119.580795,39.94142,河北,Hebei,东部,Eastern China,华北,North China,"119.580795,39.94142"
Ⅰ-8,孟姜女传说,The Legend of Meng Jiangnu,民间文学,Folk Literature,2008,扩展项目,Extension project,湖南省津市市,"Jinshi City, Hunan Province",津市市文化馆（津市市美术馆）,Jinshi Culture Museum (Jinshi Art Museum),111.871989,29.608277,湖南,Hunan,中部,Central China,华中,Central China,"111.871989,29.608277"
Ⅰ-8,孟姜女传说,The Legend of Meng Jiangnu,民间文学,Folk Literature,2011,扩展项目,Extension project,山东省莒县,"Juxian County, Shandong Province",莒县文化馆,Juxian Culture Museum,118.831617,35.580085,山东,Shandong,东部,Eastern China,华东,East China,"118.831617,35.580085"
Ⅰ-8,孟姜女传说,The Legend of Meng Jiangnu,民间文学,Folk Literature,2014,扩展项目,Extension project,山东省莱芜市莱城区,"Laicheng District, Laiwu City, Shandong Province",济南市文化馆（济南市非物质文化遗产保护中心）,Jinan Cultural Museum (Jinan Intangible Cultural Heritage Protection Center),117.671853,36.214398,山东,Shandong,东部,Eastern China,华东,East China,"117.671853,36.214398"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2006,新增项目,New project,山西省万荣县,"Wanrong County, Shanxi Province",万荣县文化馆,Wanrong County Cultural Center,110.8325,35.41574,山西,Shanxi,中部,Central China,华北,North China,"110.8325,35.41574"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2006,新增项目,New project,江苏省东台市,"Dongtai City, Jiangsu Province",东台市文化馆,Dongtai Cultural Center,120.315588,32.870231,江苏,Jiangsu,东部,Eastern China,华东,East China,"120.315588,32.870231"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2006,新增项目,New project,河南省武陟县,"Wuzhi County, Henan Province",武陟县董永文化服务中心,Wuzhi Dongyong Cultural Service Center,113.3951,35.099827,河南,Henan,中部,Central China,华中,Central China,"113.3951,35.099827"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2006,新增项目,New project,湖北省孝感市,"Xiaogan City, Hubei Province",孝感市群众艺术馆（孝感市非物质文化遗产保护中心）,Xiaogan Mass Art Museum (Xiaogan Intangible Cultural Heritage Protection Center),113.921169,30.928892,湖北,Hubei,中部,Central China,华中,Central China,"113.921169,30.928892"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2008,扩展项目,Extension project,江苏省金坛市,"Jintan City, Jiangsu Province",常州市金坛区文化馆,Changzhou Jintan District Cultural Center,119.592991,31.725391,江苏,Jiangsu,东部,Eastern China,华东,East China,"119.592991,31.725391"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2008,扩展项目,Extension project,山东省博兴县,"Boxing County, Shandong Province",博兴县文化馆,Boxing County Cultural Center,118.125712,37.149447,山东,Shandong,东部,Eastern China,华东,East China,"118.125712,37.149447"
Ⅰ-9,董永传说,Legend of Dong Yong,民间文学,Folk Literature,2011,扩展项目,Extension project,江苏省丹阳市,"Danyang City, Jiangsu Province",丹阳市文化馆,Danyang Cultural Center,119.601608,32.012313,江苏,Jiangsu,东部,Eastern China,华东,East China,"119.601608,32.012313"
Ⅰ-10,西施传说,Legend of Shih Tzu,民间文学,Folk Literature,2006,新增项目,New project,浙江省诸暨市,"Zhuji City, Zhejiang Province",诸暨市文化馆,Zhuji Cultural Center,120.242431,29.711178,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.242431,29.711178"
Ⅰ-11,济公传说,Legend of Jigong,民间文学,Folk Literature,2006,新增项目,New project,浙江省天台县,"Tiantai County, Zhejiang Province",台州市天台山文化研究会,Taizhou Tiantai Mountain Culture Research Association,121.002486,29.146827,浙江,Zhejiang,东部,Eastern China,华东,East China,"121.002486,29.146827"
Ⅰ-12,满族说部,Manchu Speaking Department,民间文学,Folk Literature,2006,新增项目,New project,吉林省,Jilin Province,吉林省艺术研究院（吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心）,"Jilin Art Research Institute (Jilin Province cultural industry special type of work vocational skill appraisal station, Jilin province northeast Errenzhuan Museum, Jilin Province Intangible Cultural Heritage Protection Center)",125.31798,43.884427,吉林,Jilin,东北,Northeast China,东北,Northeast China,"125.31798,43.884427"
Ⅰ-13,河西宝卷,Hexi Baojuan,民间文学,Folk Literature,2006,新增项目,New project,甘肃省武威市凉州区,"Liangzhou District, Wuwei City, Gansu Province",凉州区文化馆,Liangzhou District Cultural Center,102.640458,37.927933,甘肃,Gansu,西部,Western China,西北,Northwest China,"102.640458,37.927933"
Ⅰ-13,河西宝卷,Hexi Baojuan,民间文学,Folk Literature,2006,新增项目,New project,甘肃省酒泉市肃州区,"Suzhou District, Jiuquan City, Gansu Province",肃州区文化馆,Suzhou District Cultural Center,98.507262,39.744287,甘肃,Gansu,西部,Western China,西北,Northwest China,"98.507262,39.744287"
Ⅰ-13,宝卷（靖江宝卷）,Baojuan (Jingjiang Baojuan),民间文学,Folk Literature,2008,扩展项目,Extension project,江苏省靖江市,"Jingjiang City, Jiangsu Province",靖江市文化馆,Jingjiang Cultural Center,120.272522,31.984734,江苏,Jiangsu,东部,Eastern China,华东,East China,"120.272522,31.984734"
Ⅰ-13,宝卷（河西宝卷）,Baojuan (Hexi Baojuan),民间文学,Folk Literature,2008,扩展项目,Extension project,甘肃省张掖市,"Zhangye City, Gansu Province",张掖市文化馆（张掖市非物质文化遗产传承保护中心）,Zhangye Cultural Center (Zhangye Intangible Cultural Heritage Inheritance and Protection Center),100.453784,38.932267,甘肃,Gansu,西部,Western China,西北,Northwest China,"100.453784,38.932267"
Ⅰ-13,宝卷（吴地宝卷）,Baojuan (Wudi Baojuan),民间文学,Folk Literature,2014,扩展项目,Extension project,江苏省苏州市,"Suzhou City, Jiangsu Province",苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）,Suzhou intangible cultural heritage protection and Management Office (Suzhou Cultural Research Center),120.615408,31.301557,江苏,Jiangsu,东部,Eastern China,华东,East China,"120.615408,31.301557"
Ⅰ-14,耿村民间故事,Folktales of Gengcun,民间文学,Folk Literature,2006,新增项目,New project,河北省藁城市,"Gaocheng City, Hebei Province",石家庄市藁城区文化馆,Shijiazhuang Gaocheng District Cultural Center,114.841236,38.021021,河北,Hebei,东部,Eastern China,华北,North China,"114.841236,38.021021"
Ⅰ-15,伍家沟民间故事,Wujiagou Folktale,民间文学,Folk Literature,2006,新增项目,New project,湖北省丹江口市,"Danjiangkou City, Hubei Province",丹江口市文化馆,Danjiangkou Cultural Center,111.507248,32.542362,湖北,Hubei,中部,Central China,华中,Central China,"111.507248,32.542362"
Ⅰ-16,下堡坪民间故事,Folktales of Xiabaoping,民间文学,Folk Literature,2006,新增项目,New project,湖北省宜昌市夷陵区,"Yiling District, Yichang City, Hubei Province",宜昌市夷陵区文化馆,Yichang Yiling District Cultural Center,111.320609,30.772339,湖北,Hubei,中部,Central China,华中,Central China,"111.320609,30.772339"
Ⅰ-17,走马镇民间故事,Folktales of Zouma Town,民间文学,Folk Literature,2006,新增项目,New project,重庆市九龙坡区,"Jiulongpo District, Chongqing",重庆市九龙坡区文化馆,Chongqing Jiulongpo District Cultural Center,106.506862,29.505039,重庆,Chongqing,西部,Western China,西南,Southwest China,"106.506862,29.505039"
Ⅰ-18,古渔雁民间故事,Folktales of Ancient Fishing Goose,民间文学,Folk Literature,2006,新增项目,New project,辽宁省大洼县,"Dawa County, Liaoning Province",盘锦市大洼区文化体育旅游发展促进中心（大洼区总工会文体活动管理中心）,"Panjin Dawa district culture, sports and Tourism Development Promotion Center (Dawa District Federation of trade unions cultural and sports activities management center)",122.077086,41.000274,辽宁,Liaoning,东北,Northeast China,东北,Northeast China,"122.077086,41.000274"
Ⅰ-19,喀左东蒙民间故事,Folktales of Eastern Mongolia in Kazuo,民间文学,Folk Literature,2006,新增项目,New project,辽宁省喀喇沁左翼蒙古族自治县,"Karaqin left wing Mongolian Autonomous County, Liaoning Province",喀喇沁左翼蒙古族自治县公共文化和广播电视工作服务中心,Karaqin left wing Mongolian Autonomous County Public Culture and radio and television work service center,119.735162,41.126276,辽宁,Liaoning,东北,Northeast China,东北,Northeast China,"119.735162,41.126276"
Ⅰ-20,谭振山民间故事,Folktales of Tan Zhenshan,民间文学,Folk Literature,2006,新增项目,New project,辽宁省新民市,"Xinmin City, Liaoning Province",新民市文化馆,Xinmin Cultural Center,122.831362,41.983063,辽宁,Liaoning,东北,Northeast China,东北,Northeast China,"122.831362,41.983063"
Ⅰ-21,河间歌诗,Hejian Songs,民间文学,Folk Literature,2006,新增项目,New project,河北省河间市,"Hejian City, Hebei Province",河间市文化馆,Hejian Cultural Center,116.093376,38.445779,河北,Hebei,东部,Eastern China,华北,North China,"116.093376,38.445779"
Ⅰ-22,吴歌,Wu Ballads,民间文学,Folk Literature,2006,新增项目,New project,江苏省苏州市,"Suzhou City, Jiangsu Province",苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）,Suzhou intangible cultural heritage protection and Management Office (Suzhou Cultural Research Center),120.615408,31.301557,江苏,Jiangsu,东部,Eastern China,华东,East China,"120.615408,31.301557"
Ⅰ-22,吴歌,Wu Ballads,民间文学,Folk Literature,2008,扩展项目,Extension project,江苏省无锡市,"Wuxi City, Jiangsu Province",无锡市锡山区吴歌锡剧研究会,Wuxi Xishan District Wuge xiju Research Association,120.30728,31.492953,江苏,Jiangsu,东部,Eastern China,华东,East China,"120.30728,31.492953"
Ⅰ-22,吴歌,Wu Ballads,民间文学,Folk Literature,2008,扩展项目,Extension project,上海市青浦区,"Qingpu District, Shanghai",上海市青浦区文化馆（上海青浦画院）,Shanghai Qingpu District Culture Museum (Shanghai Qingpu Painting Academy),121.11958,31.152574,上海,Shanghai,东部,Eastern China,华东,East China,"121.11958,31.152574"
Ⅰ-23,刘三姐歌谣,Liu Sanjie's Ballads,民间文学,Folk Literature,2006,新增项目,New project,广西壮族自治区宜州市,"Yizhou City, Guangxi Zhuang Autonomous Region",河池市宜州区刘三姐文化传承中心,"Liu Sanjie Cultural Heritage Center, Yizhou District, Hechi City",108.607444,24.503709,广西,Guangxi,西部,Western China,华南,South China,"108.607444,24.503709"
Ⅰ-24,四季生产调,Four Seasons Production Tune,民间文学,Folk Literature,2006,新增项目,New project,云南省红河哈尼族彝族自治州,"Honghe Hani and Yi Autonomous Prefecture, Yunnan Province",红河哈尼族彝族自治州非物质文化遗产保护中心,Honghe Hani and Yi Autonomous Prefecture Intangible Cultural Heritage Protection Center,103.382144,23.36928,云南,Yunnan,西部,Western China,西南,Southwest China,"103.382144,23.36928"
Ⅰ-25,玛纳斯,Manas,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区克孜勒苏柯尔克孜自治州,Kizilsu Kirgiz Autonomous Prefecture of Xinjiang Uygur Autonomous Region,克孜勒苏柯尔克孜自治州非物质文化遗产保护（玛纳斯保护研究）中心,Intangible cultural heritage protection (Manas Protection Research) center of Kizilsu Kirgiz Autonomous Prefecture,76.169801,39.713027,新疆,Xinjiang,西部,Western China,西北,Northwest China,"76.169801,39.713027"
Ⅰ-25,玛纳斯,Manas,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区文联民间文艺家协会,Folk Writers and Artists Association of the Federation of literary and art circles of Xinjiang Uygur Autonomous Region,新疆维吾尔自治区民间文艺家协会，新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）,"Xinjiang Uygur Autonomous Region folk artists association, Xinjiang Uygur Autonomous Region Art Research Institute (Xinjiang Uygur Autonomous Region Intangible Cultural Heritage Protection Research Center)",87.624842,43.791791,新疆,Xinjiang,西部,Western China,西北,Northwest China,"87.624842,43.791791"
Ⅰ-26,江格尔,Jianger,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区和布克塞尔蒙古自治县,Xinjiang Uygur Autonomous Region and bukeser Mongolian Autonomous County,和布克赛尔蒙古自治县非物质文化遗产保护中心,Intangible cultural heritage protection center of hebukesail Mongolian Autonomous County,85.725492,46.792378,新疆,Xinjiang,西部,Western China,西北,Northwest China,"85.725492,46.792378"
Ⅰ-26,江格尔,Jianger,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区博尔塔拉蒙古自治州,"Bortala Mongolian Autonomous Prefecture, Xinjiang Uygur Autonomous Region",博尔塔拉蒙古自治州文化馆,Bortala Mongolian Autonomous Prefecture Cultural Museum,82.071484,44.902227,新疆,Xinjiang,西部,Western China,西北,Northwest China,"82.071484,44.902227"
Ⅰ-26,江格尔,Jianger,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区巴音郭楞蒙古自治州,"Bayingolin Mongolian Autonomous Prefecture, Xinjiang Uygur Autonomous Region",新疆巴音郭楞蒙古自治州文化馆,Xinjiang Bayingolin Mongolian Autonomous Prefecture Cultural Museum,86.148331,41.767057,新疆,Xinjiang,西部,Western China,西北,Northwest China,"86.148331,41.767057"
Ⅰ-26,江格尔,Jianger,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区文联民间文艺家协会,Folk Writers and Artists Association of the Federation of literary and art circles of Xinjiang Uygur Autonomous Region,新疆维吾尔自治区民间文艺家协会,Xinjiang Uygur Autonomous Region folk writers and Artists Association,87.624842,43.791791,新疆,Xinjiang,西部,Western China,西北,Northwest China,"87.624842,43.791791"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,内蒙古自治区,Inner Mongolia Autonomous Region,内蒙古自治区少数民族古籍与“格斯尔”征集研究室,"Research Office of ethnic minority ancient books and ""Geser"" collection in Inner Mongolia Autonomous Region",111.664021,40.816981,内蒙古,Inner Mongolia,西部,Western China,华北,North China,"111.664021,40.816981"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,四川省,Sichuan Province,甘孜藏族自治州文化馆,Ganzi Tibetan Autonomous Prefecture Cultural Center,104.063228,30.661883,四川,Sichuan,西部,Western China,西南,Southwest China,"104.063228,30.661883"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,云南省,Yunnan Province,迪庆藏族自治州非物质文化遗产保护中心,Diqing Tibetan Autonomous Prefecture Intangible Cultural Heritage Protection Center,102.710809,25.043582,云南,Yunnan,西部,Western China,西南,Southwest China,"102.710809,25.043582"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,西藏自治区,Tibet Autonomous Region,西藏自治区文化厅,Department of culture of Tibet Autonomous Region,91.130669,29.663081,西藏,Tibet,西部,Western China,西南,Southwest China,"91.130669,29.663081"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,甘肃省,Gansu Province,西北民族大学,Northwest Minzu University,103.821131,36.058347,甘肃,Gansu,西部,Western China,西北,Northwest China,"103.821131,36.058347"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,青海省,Qinghai Province,青海省《格萨尔》史诗研究所,Qinghai Gesar Epic Research Institute,101.776984,36.623257,青海,Qinghai,西部,Western China,西北,Northwest China,"101.776984,36.623257"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,新疆维吾尔自治区,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区民间文艺家协会,Xinjiang Uygur Autonomous Region folk writers and Artists Association,87.625715,43.792066,新疆,Xinjiang,西部,Western China,西北,Northwest China,"87.625715,43.792066"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2006,新增项目,New project,中国社会科学院《格萨（斯）尔》办公室,"Gesar office, Chinese Academy of Social Sciences",中国社会科学院《格萨（斯）尔》办公室,"Gesar office, Chinese Academy of Social Sciences",116.174077,39.738512,北京,Beijing,东部,Eastern China,华北,North China,"116.174077,39.738512"
Ⅰ-27,格萨（斯）尔,Gesar,民间文学,Folk Literature,2014,扩展项目,Extension project,内蒙古自治区巴林右旗,"Bahrain Right Banner, Inner Mongolia Autonomous Region",巴林右旗格斯尔文化研究发展中心,"Geser cultural research and development center, Right Banner, Bahrain",118.658746,43.532217,内蒙古,Inner Mongolia,西部,Western China,华北,North China,"118.658746,43.532217"
Ⅰ-28,阿诗玛,Ashima,民间文学,Folk Literature,2006,新增项目,New project,云南省石林彝族自治县,"Shilin Yi Autonomous County, Yunnan Province",石林彝族自治县文化馆,Shilin Yi Autonomous County Cultural Center,103.288917,24.774741,云南,Yunnan,西部,Western China,西南,Southwest China,"103.288917,24.774741"
Ⅰ-29,拉仁布与吉门索,Larenbu and Jimenso,民间文学,Folk Literature,2006,新增项目,New project,青海省互助土族自治县,"Huzhu Tu Autonomous County, Qinghai Province",互助土族自治县文化馆,Huzhu Tu Autonomous County Cultural Center,101.957507,36.844281,青海,Qinghai,西部,Western China,西北,Northwest China,"101.957507,36.844281"
Ⅰ-30,畲族小说歌,Shes Novel Songs,民间文学,Folk Literature,2006,新增项目,New project,福建省霞浦县,"Xiapu County, Fujian Province",霞浦县福宁文化艺术交流中心,Xiapu Funing culture and art exchange center,120.001213,26.888522,福建,Fujian,东部,Eastern China,华东,East China,"120.001213,26.888522"
Ⅰ-31,青林寺谜语,Qinglin Temple Riddle,民间文学,Folk Literature,2006,新增项目,New project,湖北省宜都市,"Yidu City, Hubei Province",宜都市文化馆（宜都市文艺创作室）,Yidu Cultural Center (Yidu literature and art creation room),111.444147,30.380756,湖北,Hubei,中部,Central China,华中,Central China,"111.444147,30.380756"
Ⅰ-31,谜语（澄海灯谜）,Riddles (Chenghai Lantern Riddles),民间文学,Folk Literature,2008,扩展项目,Extension project,广东省汕头市澄海区,"Chenghai District, Shantou City, Guangdong Province",汕头市澄海区文化馆,Shantou Chenghai District Cultural Center,116.75151,23.468525,广东,Guangdong,东部,Eastern China,华南,South China,"116.75151,23.468525"
Ⅰ-32,八达岭长城传说,Legend of the Badaling Great Wall,民间文学,Folk Literature,2008,新增项目,New project,北京市延庆县,"Yanqing County, Beijing",北京市延庆区文物管理所,Yanqing District Administration of cultural relics of Beijing Municipality,115.968405,40.455784,北京,Beijing,东部,Eastern China,华北,North China,"115.968405,40.455784"
Ⅰ-33,永定河传说,Legend of Yongding River,民间文学,Folk Literature,2008,新增项目,New project,北京市石景山区,"Shijingshan District, Beijing",北京市石景山区非物质文化遗产保护中心,Shijingshan District intangible cultural heritage protection center of Beijing Municipality,116.216927,39.905382,北京,Beijing,东部,Eastern China,华北,North China,"116.216927,39.905382"
Ⅰ-34,杨家将传说（穆桂英传说）,Legend of the Yang Family (Legend of Mu Guiying),民间文学,Folk Literature,2008,新增项目,New project,北京市房山区,"Fangshan District, Beijing",北京市房山区燕山文化馆,"Yanshan cultural center, Fangshan District, Beijing",116.137192,39.747542,北京,Beijing,东部,Eastern China,华北,North China,"116.137192,39.747542"
Ⅰ-34,杨家将传说（杨家将说唱）,Legend of the Yang Family (The Yang Family Rap),民间文学,Folk Literature,2008,新增项目,New project,山西省,Shanxi Province,山西大学非物质文化遗产研究中心,Intangible cultural heritage research center of Shanxi University,112.542951,37.856487,山西,Shanxi,中部,Central China,华北,North China,"112.542951,37.856487"
Ⅰ-34,杨家将传说（杨七郎墓传说）,Legend of the Yang Family (Legend of the Tomb of Yang Qilang),民间文学,Folk Literature,2014,扩展项目,Extension project,天津市宁河县,"Ninghe County, Tianjin",天津市宁河区文化馆,Tianjin Ninghe District Cultural Center,117.820428,39.328833,天津,Tianjin,东部,Eastern China,华北,North China,"117.820428,39.328833"
Ⅰ-35,尧的传说,Yao's Legend,民间文学,Folk Literature,2008,新增项目,New project,山西省绛县,"Jiangxian County, Shanxi Province",绛县文化馆,Jiangxian Cultural Center,111.562197,35.491656,山西,Shanxi,中部,Central China,华北,North China,"111.562197,35.491656"
Ⅰ-35,尧的传说,Yao's Legend,民间文学,Folk Literature,2011,扩展项目,Extension project,山东省菏泽市牡丹区,"Mudan District, Heze City, Shandong Province",菏泽市牡丹区文化馆,Heze Mudan District Cultural Center,115.411825,35.252768,山东,Shandong,东部,Eastern China,华东,East China,"115.411825,35.252768"
Ⅰ-36,牛郎织女传说,The Legend of the Cowherd and the Girl Weaver,民间文学,Folk Literature,2008,新增项目,New project,山西省和顺县,"Heshun County, Shanxi Province",和顺县文化馆,Heshun County Cultural Center,113.564081,37.329209,山西,Shanxi,中部,Central China,华北,North China,"113.564081,37.329209"
Ⅰ-36,牛郎织女传说,The Legend of the Cowherd and the Girl Weaver,民间文学,Folk Literature,2008,新增项目,New project,山东省沂源县,"Yiyuan County, Shandong Province",沂源县文化馆,Yiyuan County Cultural Center,118.164965,36.184858,山东,Shandong,东部,Eastern China,华东,East China,"118.164965,36.184858"
Ⅰ-36,牛郎织女传说,The Legend of the Cowherd and the Girl Weaver,民间文学,Folk Literature,2011,扩展项目,Extension project,陕西省西安市长安区,"Chang'an District, Xi'an City, Shaanxi Province",西咸新区沣东新城斗门街道办事处,"Doumen sub district office of Fengdong new town, Xixian New Area",108.902335,34.160675,陕西,Shaanxi,西部,Western China,西北,Northwest China,"108.902335,34.160675"
Ⅰ-37,西湖传说,West Lake Legend,民间文学,Folk Literature,2008,新增项目,New project,浙江省杭州市,"Hangzhou City, Zhejiang Province",杭州图书馆,Hangzhou Library,120.20541,30.24828,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.20541,30.24828"
Ⅰ-38,刘伯温传说,Legend of Liu Bowen,民间文学,Folk Literature,2008,新增项目,New project,浙江省文成县,"Wencheng County, Zhejiang Province",文成县非物质文化遗产保护中心,Wencheng Intangible Cultural Heritage Protection Center,120.086885,27.790024,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.086885,27.790024"
Ⅰ-38,刘伯温传说,Legend of Liu Bowen,民间文学,Folk Literature,2008,新增项目,New project,浙江省青田县,"Qingtian County, Zhejiang Province",青田县刘基研究会,Qingtian Liuji Research Association,120.284966,28.142927,浙江,Zhejiang,东部,Eastern China,华东,East China,"120.284966,28.142927"
